[0] MPI startup(): I_MPI_OFA_TRANSLATION_CACHE variable has been removed from the product, its value is ignored

src,dst,lat(us),bandwidth((Mbytes/sec)
13,18,1.46,5728.043724 
13,19,1.46,5729.260643 
13,20,1.47,5727.886729 
13,21,1.46,5728.218397 
13,22,1.47,5727.359526 
13,23,1.47,5728.760150 
13,24,1.48,5728.458658 
13,25,1.47,5727.364442 
13,26,1.48,5727.901116 
13,27,1.47,5728.581983 
13,28,1.46,5728.703675 
13,29,1.46,5728.441352 
13,30,1.48,5728.030064 
13,31,1.46,5728.482156 
13,32,1.53,5725.923732 
13,33,1.45,5728.545550 
13,34,1.46,5728.433519 
13,35,1.45,5727.567482 
13,36,1.45,5726.772888 
13,37,1.45,5727.933171 
13,38,1.45,5728.517132 
13,39,1.44,5729.538166 
13,40,1.45,5728.496365 
13,41,1.45,5729.069509 
13,42,1.46,5729.520854 
13,43,1.45,5729.252079 
13,44,1.45,5728.707318 
13,45,1.45,5728.451553 
13,46,1.45,5728.613134 
13,47,1.46,5728.207650 
13,48,1.46,5728.060663 
13,49,1.46,5728.877841 
13,50,1.47,5726.591932 
13,51,1.46,5727.372272 
13,52,1.47,5728.736649 
13,53,1.47,5727.766347 
13,54,1.48,5728.589088 
13,55,1.48,5727.561108 
14,0,1.46,5727.004470 
14,1,1.45,5727.650887 
14,2,1.46,5728.035528 
14,3,1.47,5728.608034 
14,4,1.53,5726.128125 
14,5,1.45,5728.913368 
14,6,1.46,5728.573057 
14,7,1.45,5727.750502 
14,8,1.45,5728.581072 
14,9,1.45,5729.013756 
14,10,1.45,5728.511849 
14,11,1.47,5727.410694 
14,12,1.46,5728.153190 
14,13,1.46,5728.940332 
14,15,1.46,5730.213407 
14,16,1.48,5728.345720 
14,17,1.47,5729.193590 
14,18,1.47,5727.416339 
14,19,1.46,5728.542453 
14,20,1.47,5726.962412 
14,21,1.47,5727.607363 
14,22,1.47,5728.148272 
14,23,1.47,5728.046274 
14,24,1.48,5728.008573 
14,25,1.48,5727.494641 
14,26,1.48,5726.754318 
14,27,1.47,5727.919511 
14,28,1.46,5727.917326 
14,29,1.46,5728.643739 
14,30,1.47,5727.526690 
14,31,1.47,5727.305081 
14,32,1.53,5726.494905 
14,33,1.45,5728.289435 
14,34,1.46,5726.888312 
14,35,1.46,5728.875655 
14,36,1.46,5727.425444 
14,37,1.46,5727.492638 
14,38,1.45,5728.175411 
14,39,1.45,5728.237340 
14,40,1.46,5727.782009 
14,41,1.45,5728.512031 
14,42,1.46,5728.649569 
14,43,1.45,5728.837031 
14,44,1.46,5728.456836 
14,45,1.46,5727.977246 
14,46,1.46,5726.809299 
14,47,1.46,5728.863448 
14,48,1.47,5727.883086 
14,49,1.47,5727.763251 
14,50,1.47,5727.770535 
14,51,1.48,5728.567592 
14,52,1.47,5722.010860 
14,53,1.48,5716.312457 
14,54,1.49,5727.576587 
14,55,1.48,5727.378645 
15,0,1.46,5728.002744 
15,1,1.45,5728.021140 
15,2,1.46,5727.747589 
15,3,1.46,5729.491333 
15,4,1.52,5726.768883 
15,5,1.45,5728.077602 
15,6,1.45,5728.389619 
15,7,1.44,5727.562747 
15,8,1.45,5727.731745 
15,9,1.44,5727.621931 
15,10,1.45,5728.302003 
15,11,1.45,5729.552015 
15,12,1.46,5728.103101 
15,13,1.45,5728.652666 
15,14,1.46,5727.951930 
15,16,1.47,5728.193625 
15,17,1.45,5727.710984 
15,18,1.46,5728.604390 
15,19,1.46,5728.279781 
15,20,1.47,5728.185975 
15,21,1.47,5727.351878 
15,22,1.47,5727.696050 
15,23,1.47,5727.718997 
15,24,1.48,5727.447295 
15,25,1.47,5727.833002 
15,26,1.48,5727.450937 
15,27,1.48,5727.796578 
15,28,1.47,5728.159565 
15,29,1.46,5728.746122 
15,30,1.47,5728.209290 
15,31,1.46,5727.699510 
15,32,1.53,5726.275196 
15,33,1.45,5728.898793 
15,34,1.46,5728.760332 
15,35,1.45,5727.707523 
15,36,1.45,5727.113167 
15,37,1.45,5727.681117 
15,38,1.45,5728.193625 
15,39,1.44,5719.651429 
15,40,1.45,5728.958551 
15,41,1.45,5728.787659 
15,42,1.45,5729.238049 
15,43,1.44,5728.708958 
15,44,1.46,5728.059570 
15,45,1.45,5728.860351 
15,46,1.46,5729.151136 
15,47,1.46,5728.957276 
15,48,1.47,5728.289981 
15,49,1.46,5729.447235 
15,50,1.48,5726.847349 
15,51,1.46,5727.198562 
15,52,1.47,5727.813880 
15,53,1.47,5727.495733 
15,54,1.48,5727.134470 
15,55,1.47,5727.607727 
16,0,1.46,5727.822439 
16,1,1.46,5728.798408 
16,2,1.46,5728.630076 
16,3,1.46,5727.058545 
16,4,1.53,5727.421984 
16,5,1.45,5727.906580 
16,6,1.46,5728.367032 
16,7,1.46,5728.019318 
16,8,1.45,5728.538263 
16,9,1.45,5728.494726 
16,10,1.46,5728.563220 
16,11,1.46,5728.356285 
16,12,1.46,5727.787472 
16,13,1.46,5728.748491 
16,14,1.46,5729.203429 
16,15,1.46,5729.208531 
16,17,1.46,5727.258103 
16,18,1.47,5727.502471 
16,19,1.47,5727.915869 
16,20,1.48,5728.088348 
16,21,1.48,5727.409783 
16,22,1.48,5728.239526 
16,23,1.48,5726.389508 
16,24,1.48,5727.996370 
16,25,1.48,5726.696608 
16,26,1.48,5727.179625 
16,27,1.48,5728.099640 
16,28,1.47,5728.278688 
16,29,1.47,5727.872523 
16,30,1.48,5728.284517 
16,31,1.47,5727.688584 
16,32,1.53,5725.830186 
16,33,1.46,5727.849575 
